Date,Open,High,Low,Close,Volume,MarketCap
2019/6/6,7819.63 ,7937.34 ,7571.47 ,7822.02 ,19474611077.00 ,138800725479.00 
2019/6/5,7704.34 ,7901.85 ,7668.67 ,7824.23 ,21760923463.00 ,138824651666.00 
2019/6/4,8210.99 ,8210.99 ,7564.49 ,7707.77 ,24609731549.00 ,136742790469.00 
2019/6/3,8741.75 ,8743.50 ,8204.19 ,8208.99 ,22004511436.00 ,145619047341.00 
2019/6/2,8565.47 ,8809.30 ,8561.24 ,8742.96 ,20266216022.00 ,155077231351.00 
2019/6/1,8573.84 ,8625.60 ,8481.58 ,8564.02 ,22488303544.00 ,151890214310.00 
2019/5/31,8320.29 ,8586.66 ,8172.55 ,8574.50 ,25365190957.00 ,152059886414.00 
2019/5/30,8661.76 ,9008.31 ,8221.27 ,8319.47 ,29246528551.00 ,147525141134.00 
2019/5/29,8718.59 ,8755.85 ,8482.73 ,8659.49 ,23473479966.00 ,153537047655.00 
2019/5/28,8802.76 ,8807.02 ,8634.72 ,8719.96 ,24226919267.00 ,154590202287.00 
2019/5/27,8674.07 ,8907.17 ,8668.70 ,8805.78 ,27949839564.00 ,156093754762.00 
2019/5/26,8055.21 ,8687.52 ,7924.67 ,8673.22 ,26677970092.00 ,153725486067.00 
2019/5/25,7991.89 ,8117.93 ,7965.98 ,8052.54 ,22256813107.00 ,142708188838.00 
2019/5/24,7881.70 ,8140.72 ,7824.45 ,7987.37 ,25919126991.00 ,141539115575.00 
2019/5/23,7677.27 ,7943.79 ,7533.20 ,7881.85 ,24457107820.00 ,139654107035.00 
2019/5/22,7956.29 ,7997.61 ,7615.99 ,7680.07 ,24719473175.00 ,136063898960.00 
2019/5/21,7977.97 ,8062.17 ,7843.34 ,7963.33 ,25127245056.00 ,141065573610.00 
2019/5/20,8196.92 ,8200.97 ,7678.78 ,7978.31 ,23843404340.00 ,141315695728.00 
2019/5/19,7267.96 ,8261.94 ,7267.96 ,8197.69 ,25902422040.00 ,145185076705.00 
2019/5/18,7341.66 ,7447.27 ,7251.50 ,7271.21 ,21354286562.00 ,128761727083.00 
2019/5/17,7886.93 ,7929.15 ,7038.12 ,7343.90 ,30066644905.00 ,130034777633.00 
2019/5/16,8194.50 ,8320.82 ,7729.61 ,7884.91 ,33167197581.00 ,139599559278.00 
2019/5/15,7989.37 ,8216.42 ,7899.11 ,8205.17 ,28344112920.00 ,145254332460.00 
2019/5/14,7807.88 ,8268.71 ,7696.39 ,7994.42 ,32031452227.00 ,141508656735.00 
2019/5/13,6971.18 ,8047.41 ,6898.28 ,7814.92 ,28677672182.00 ,138316573807.00 
2019/5/12,7203.51 ,7503.87 ,6815.77 ,6972.37 ,27773333680.00 ,123389710222.00 
2019/5/11,6379.67 ,7333.00 ,6375.70 ,7204.77 ,28867562329.00 ,127488435181.00 
2019/5/10,6175.82 ,6434.62 ,6161.52 ,6378.85 ,19419875368.00 ,112863284035.00 
2019/5/9,5982.32 ,6183.04 ,5982.32 ,6174.53 ,16784645411.00 ,109238600750.00 
2019/5/8,5849.48 ,5989.98 ,5794.72 ,5982.46 ,15320605300.00 ,105829143585.00 
2019/5/7,5745.60 ,5988.18 ,5741.40 ,5829.50 ,18026409033.00 ,103112368557.00 
2019/5/6,5791.69 ,5802.96 ,5653.69 ,5746.81 ,15737171804.00 ,101640471056.00 
2019/5/5,5831.07 ,5833.86 ,5708.04 ,5795.71 ,14808830723.00 ,102494420158.00 
2019/5/4,5769.20 ,5886.89 ,5645.47 ,5831.17 ,17567780766.00 ,103112021259.00 
2019/5/3,5505.55 ,5865.88 ,5490.20 ,5768.29 ,18720780006.00 ,101986240859.00 
2019/5/2,5402.42 ,5522.26 ,5394.22 ,5505.28 ,14644460907.00 ,97330112147.00 
2019/5/1,5350.91 ,5418.00 ,5347.65 ,5402.70 ,13679528237.00 ,95501110091.00 
2019/4/30,5247.73 ,5363.26 ,5224.19 ,5350.73 ,13878964574.00 ,94573826828.00 
2019/4/29,5284.86 ,5311.27 ,5216.49 ,5247.35 ,13735490672.00 ,92737510865.00 
2019/4/28,5271.75 ,5326.23 ,5255.68 ,5285.14 ,12819992056.00 ,93391244395.00 
2019/4/27,5279.47 ,5310.75 ,5233.64 ,5268.29 ,13111274675.00 ,93086156556.00 
2019/4/26,5210.30 ,5383.63 ,5177.37 ,5279.35 ,16812108040.00 ,93272287960.00 
2019/4/25,5466.52 ,5542.24 ,5181.34 ,5210.52 ,15330283408.00 ,92046492864.00 
2019/4/24,5571.51 ,5642.04 ,5418.26 ,5464.87 ,17048033399.00 ,96530038144.00 
2019/4/23,5399.37 ,5633.80 ,5389.41 ,5572.36 ,15867308108.00 ,98417387004.00 
2019/4/22,5312.49 ,5422.69 ,5280.28 ,5399.37 ,14601631648.00 ,95354207776.00 
2019/4/21,5335.88 ,5359.93 ,5257.34 ,5314.53 ,13731844223.00 ,93847052256.00 
2019/4/20,5304.16 ,5358.49 ,5295.88 ,5337.89 ,13169647522.00 ,94248717444.00 
2019/4/19,5298.15 ,5336.68 ,5233.34 ,5303.81 ,13780238655.00 ,93638345002.00 
2019/4/18,5251.48 ,5319.99 ,5250.51 ,5298.39 ,13256489918.00 ,93532402741.00 
2019/4/17,5236.14 ,5274.28 ,5219.21 ,5251.94 ,12438480677.00 ,92702617458.00 
2019/4/16,5066.58 ,5238.95 ,5055.19 ,5235.56 ,11618660197.00 ,92404613297.00 
2019/4/15,5167.32 ,5196.61 ,5024.07 ,5067.11 ,12290155061.00 ,89422237603.00 
2019/4/14,5095.76 ,5184.02 ,5053.57 ,5167.72 ,10391952498.00 ,91188595341.00 
2019/4/13,5088.85 ,5127.12 ,5061.59 ,5096.59 ,10823289598.00 ,89925574875.00 
2019/4/12,5061.20 ,5103.27 ,4955.85 ,5089.54 ,13675206313.00 ,89792633045.00 
2019/4/11,5325.08 ,5354.23 ,5017.30 ,5064.49 ,16555616019.00 ,89341168457.00 
2019/4/10,5204.11 ,5421.65 ,5193.38 ,5324.55 ,15504590933.00 ,93918439274.00 
2019/4/9,5289.92 ,5289.92 ,5167.42 ,5204.96 ,14722104361.00 ,91799330425.00 
2019/4/8,5199.84 ,5318.84 ,5148.21 ,5289.77 ,17154113634.00 ,93286365973.00 